name,price,product_dimensions,description,sustainability_features,rating,number_of_reviews,product_page_url
"Seventable Nightstand with Charging Station, Bedside Table with LED Lights, Night Stand with 2 Fabric Drawers, 3-Tier Storage End Table for Bedroom, Rustic Brown",$45.99 ,"11.8""D x 15.7""W x 23.6""H","Light up your home: Nightstand LED with 20 color change and lighting effects, plus 21 dynamic modes.With 8 brightness levels & 8 speed modes, this light meets needs in any environment.Use the included remote to effortlessly create the perfect ambiance for any room Easy to charge: The bedside table has 2 AC&2 USB ports. Before bedtime, easily charge your phone, watch, or night light simultaneously. Say goodbye to the hassle of insufficient sockets and wake up to a stress-free charging experience 2 Drawes & 2 Shelfs：You can place lamp on the desktop，put your reading and headphone in the drawer in bedroom ; You can prop up your coffee, books beside the sofa or even as a storage rack in the ,Plus: Adjustable feet will make it stable and durable Long Time to Use: The sturdy metal frame, durable fabric drawers, and particle board provide strong support for this side table; Vintage wood grain paired with metal frame, timeless; It promises longevity and reliability for everyday use Easy Assembly: Enjoy the convenience of a hassle-free assembly process with our detailed instructions, numbered components, and included tools. Setting up this piece is a breeze, allowing you to quickly experience the comfort it brings to your space","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.4 out of 5 stars,335 ratings,https://www.amazon.com/-/zh/dp/B0CJ5DCLG9/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-1&srs=24000582011&th=1
"Rolanstar Nightstand with Charging Station, Night Stand with 2 Drawers, 2 AC and USB Power Outlets, Accent Bed Side Table with Storage Shelf for Bedroom, Black",$79.99 ,"15.7""D x 17.7""W x 26""H","�? AC Outlets and 2 USB Ports】Rolanstar nightstand is arranged with a power outlet which has 2 AC & 2 USB ports, and a 6.5ft long power supply cable. Convenient for charging ipads, mobiles, or other electric devices. 【Multi-Function Storage】This sofa/bed side table is combined with 2 sliding drawers and 1 storage shelf. To make your room more tidy and comfortable, all the clutters in the room could be organized on it. 【Stable Construction & Size】X-frame design and adjustable foot pads support this night stand more stability. Moreover, the particle board material is processed intensively, the tabletop could load up to 60 Lbs, the storage shelf load up to 35 Lbs, and the drawers load up to 15 Lbs. Product size:15.7''D x 17.7''W x 26''H. 【Versatile Use in Home】It is well-known that the vertical rectangle shape of the nightstand is suitable for matching various house furniture. Such as a drink table, coffee table, snack table, sofa side table, or nightstand in bedroom, and living room. 【Fast Assembly & Easy Cleaning】All parts and tools are included. Following the instruction, this item could be assembled effortlessly. The smooth surface and melamine veneer tabletop are waterproof, heat-resistant, and dust free. You just need a damp cloth to keep the table clean.","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.5 out of 5 stars,763 ratings,https://www.amazon.com/-/zh/dp/B09XB31Z46/ref=sr_1_2?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-2&srs=24000582011&th=1
"Seventable Nightstand with Charging Station and LED Light, Side Table with 3 Fabric Drawers, Bedside End Table with USB Ports and Outlets, Night Stand for Bedroom, Greige",$49.99 ,"11.8""D x 15.7""W x 23.6""H","Nightstand with Charging Station: The night stand has large storage space with the built-in charging station featuring 2 AC outlets, 2 USB ports, and a 6.5 ft long power supply cord. Charge multiple devices simultaneously, from phones and tablets to desk lamps LED Light with multiple RGB colors: Elevate your space with our nightstand's 20 RGB LED colors, along with 21 dynamic modes, 8 speed modes, and 8 brightness settings. Customize the ambiance of your bedroom or with the included remote control 3 Fabric Drawers Nightstand: Create a clutter-free home environment with three breathable and dustproof fabric drawers. Each drawer, sized at 11.2""D x 13.9""W x 4.3""H, provides ample storage for snacks, books, toys, and more Sturdy & Durable End Table: Crafted from high-quality engineered wood and metal, this end table ensures stability for both the table and its contents. With an overall dimension of 11.8""D x 15.7""W x 23.6""H, it can support up to 55 lbs on the tabletop and 11 lbs in each drawer. The 4 adjustable feet maintain levelness and prevent floor scratches Easy to Assemble & Easy Cleaning: Assemble your nightstand effortlessly within 10-15 minutes using the included clear and detailed instructions and tools. Keep your nightstand looking fresh with easy cleaning using a wet rag","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,309 ratings,https://www.amazon.com/-/zh/dp/B0CJ5DD6C6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-3&srs=24000582011&th=1
"Seventable L Shaped Computer Desk with Drawers 55.1 inch, Gaming Desk with Power Outlets & LED Lights, Reversible Office Desk with Storage Shelves, Corner Desk with Monitor Stand Black",   $129.99 with 7 percent savings    ,"55.1""D x 31.1""W x 34.7""H","Power Outlets & Monitor Stand - This L-shaped desk boasts 2 standard outlets, 2 USB ports,and 1 Type-C port, facilitating convenient charging for cell phones, laptops, and other office equipment, enhancing efficiency during work or gaming Desk with 4 Drawers & Open Shelves - Equipped with 4 removable fabric drawers and sturdy two-tier storage shelves, this desk maximizes home office space. The drawers can be adjusted according to your needs, while the shelves offer ample storage for books, magazines, devices, and documents, ensuring a well-organized workspace Multifunctional LED Light - Experience enhanced aesthetics with the multifunctional LED light system. Enjoy vibrant RGB LED light strips with over 60,000 color options via the phone app or controller. Customize brightness, color, mode, and timer settings, and sync the lights with music for a dynamic atmosphere during parties Reversible L-shaped Desk - The desk's reversible L-shaped design provides versatility, allowing installation in two different directions to suit your specific needs Ensure Good Sitting Posture - Promoting good sitting posture, the Seventable L-shaped computer desk includes a full-size display monitor stand.Regardless of monitor placement, you can ensure it aligns with your line of sight, enhancing productivity and maximizing desktop space","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,138 ratings,https://www.amazon.com/-/zh/dp/B0CKSYRLHG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-4&srs=24000582011
"Rolanstar End Table with Charging Station, Record Player Stand with LED Lights, Nightstand with Storage Shelf, Mid-Century Record Storage, for Living Room,Bedroom - Rustic Brown",$69.99 ,"15.8""D x 20.5""W x 29.7""H","�? AC Outlets+ 2 USB Ports】Low battery! Where is the power outlet? No need to look around it's within your arm's reach. This Mid-Century Record Player Stand is arranged 2 Standard Plug Outlets & 2 USB Ports, and a 6.5ft long power supply cable that is convenient for charging your record player, and mobile devices. 【LED Light with multi-variable RGB colors】The LED coupled with mid-century style is definitely a highlight in your room. 20 colors change, 10-speed levels adjustment with 5 brightness modes to choose from. Considering the practicability, this end table support an infrared remote control device to control the LED light. 【Versatile Use】You can put the record player on the top, and put your sound equipment and headset on the shelf. What's more! The 4 open compartments could easily hold 150 albums. The side table is suitable for matching various home furniture, such as placed beside the sofa/bed or used as an end table/side table/coffee table/nightstand. Widely applied in the living room, bedroom, home office, and corners. 【Size & Sturdy Construction】Well-designed product size 20.5""L x 15.8""W x 29.7""H. This nightstand with a storage shelf made of particleboard. Its tabletop could easily load up to 44 Lbs, and the shelf loads up to 22 Lbs. 【Easy Assembly】All parts and tools included. Following the instruction, assembly completes effortlessly within 30mins! This is a great opportunity for family activities.","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.6 out of 5 stars,463 ratings,https://www.amazon.com/-/zh/dp/B09TZQ3STL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-5&srs=24000582011
"Rolanstar Console Table with Power Outlet, Narrow Sofa Table, 55.1"" x 11.8"" Farmhouse Table Behind Sofa Couch Hallway Entrance for Living Room, Entryway, Foyer, with Metal Frame, Rustic Brown",   $64.99 with 28 percent savings    ,"11.8""D x 55.1""W x 31.5""H","Console Table with Charging Station- With 2 USB ports & 2 Outlets on table top, plus a 78-power cord, the console table allows you to easily charge your mobile phone, laptop, lamps and other electronic devices Multi-Purpose Application- 55.1"" L x 11.8"" W x 31.5"" H; The narrow console table is the first choice in any tight space. It can be placed in the entryway to catch keys and mails; sit behind the sofa for bouquets, books and magazines; stand in the bedroom to hold a small TV; or serve as a corridor table to provide drinks and snacks Farmhouse Design- The appearance of sofa table is a rustic brown top and heavy duty metal frame, which has been treated with retro and farmhouse style. Straight lines help save space whenever it is aligned with wall or the rest of your furniture. Double-X side panels give extra elegance for your decor in your home Stable and Reliable- The console table is constructed of metal frame and durable particleboard, which can strengthen the stability and durability while offer a load capacity of 110 lb. The raw materials meet the EPA TSCA Title VI and Carb Certification, offering you a safe and healthy living environment Set up in 20 minutes- This sofa table comes with detailed instruction, assembly tools and numbered parts, assembly can be done within 20mins. 4 adjustable feet are designed for easy leveling on uneven floors and protect floors from being scratched","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.8 out of 5 stars,"2,089 ratings",https://www.amazon.com/-/zh/dp/B097TKMSCN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-6&srs=24000582011
"Rolanstar End Table with Charging Station, Narrow Side Table with 2 Wooden Drawers, USB Ports and Power Outlets, Nightstand Sofa Table for Small Spaces, Living Room, Bedroom, Gray",   $69.99 with 22 percent savings    ,"23.6""D x 11.8""W x 24.4""H","Dimension & Load Capacity: Dimension: 23.6-L x 11.8-W x 24.4-H; Load Capacity of Tabletop/OpenShelf : 44 lbs; Drawer Load Capacity : 22 lbs Versatile & Convenient End Table: Narrow side table with 2 drawers and open shelf offer you ample space to storage and display which you can place your decorative phone lamps books and etc. Great for living room bedroom home office and small spaces Sofa Side Table with Charging Station: 2 Standard Plug Outlets & 2 USB Ports with Cable Management 6.5ft long power supply cord. Low battery where is power outlet? No need to look around it- within your arm- reach Reliable Raw & Sturdy Design: The Rolanstar side table is designed by raw materials, which meets the EPA TSCA Title VI and Carb Certification and metal frame, not only provides great stability and durability, but also offers you a safe, healthy and large storage space in your home bedroom 20 Minutes Assemble & Easy Cleaning: Comes with included clear and detailed instructions, numbered parts, and necessary tools for assembly. The nightstand can easily be cleaned with a wet rag","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.7 out of 5 stars,"4,885 ratings",https://www.amazon.com/-/zh/dp/B0982WVG1K/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-7&srs=24000582011
"Ergotron -LX Premium Monitor Arm, Single Monitor Desk Mount -fits Flat Curved Ultrawide Computer Monitors up to 34 Inches, 7 to 25 lbs, VESA 75x75mm or 100x100mm -Matte Black",   $196.77 with 6 percent savings    ,,"Broad compatibility: Fits single screens up to 34 inches diagonal and 7 to 25 pounds; compatible with VESA patterns 75x75mm and 100x100mm Versatile mounting options: Includes two-piece desk clamp and grommet mount to fit a variety of desk types; desk clamp attaches to desks 0.4 to 2.4 inches thick; grommet mount attaches through a surface hole to desks up to 2.25 inches thick Improved comfort: Easily raise your monitor up to 17.3 inches above your worksurface with 13 inches of lift; find your best view for each project with 360 degrees of rotation and 75 degrees of tilt Sleek and modular design: Designed with aesthetics in mind to enhance your workspace, built-in cable management creates a streamlined look; a suite of compatible accessories lets you customize your work or gaming space Built to last: Extensive quality testing ensures your monitor stays stable and secure; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,"15,484 ratings",https://www.amazon.com/-/zh/dp/B07Q8TJ2KL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-8&srs=24000582011
"Seventable Coffee Table, 47.2"" Lift Top Coffee Table with 2 Storage Drawers and Hidden Compartment, Farmhouse Center Table with Wooden Lift Tabletop, for Living Room,Rustic Brown",   $145.80 with 19 percent savings    ,"19.7""D x 47.2""W x 19""H","Two-Way Lift Top Design: This unique coffee table features a one-of-a-kind design that allows the split top to lift in two places and move forward, creating two multipurpose workspaces. This allows you and your family to use the table separately without interruption. The largest tabletop can be assembled on either the left or right side to suit different sofas Storage Space: Dimensions: 47.2""W x 19.7""D x 19""-24.4""H. Two hidden storage compartments beneath the top are designed to store frequently used items such as laptops, magazines, remote controllers, and similar items when not in use, keeping them free from dirt. Two storage drawers are provided to expand your space and keep everything organized Sturdy Structure: The high-quality metal mechanism enables the lift-top tabletop to be easily raised or lowered without noise. Constructed of CARB Certification MDF with heavy-duty wooden legs, this coffee table provides a safe environment once correctly assembled Convenient Furniture: With this lift-top table, you won't need to lean forward too hard to use your laptop, write, or dine on the table while relaxing on the couch. The contemporary look is simple in shape and classic in color, making it compatible with your room arrangement Easy Assembly: Comes with the necessary hardware and an instruction manual to help you set up this lift-top coffee table quickly and without difficulties","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,"2,790 ratings",https://www.amazon.com/-/zh/dp/B09C7HD558/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-9&srs=24000582011
"Steelcase Series 1 Office Chair - Ergonomic Work Chair with Wheels for Carpet - Helps Support Productivity - Weight-Activated Controls, Back Supports & Arm Support - Easy Assembly - Licorice Cogent",$498.00 ,"23.7""D x 27""W x 41.25""H","100% Polyester Ergonomic Chair Design: The Steelcase Series 1 work chair gives you essential ergonomics and quality at a great value, plus it boasts space efficiency and weight-activated controls Customizable Office Furniture: This chair for desks has optional 4-dimensional arm support and an adjustable headrest, plus provides additional back support for a pressure-free sit Durable Chair with Wheels: This ergonomic chair includes flexible edges and adaptive bolstering in the forearm, providing a pressure-free sit Easy-to-Assemble Study Chair: With no tools required, this chair can be put together in less than 2 minutes, so you can enjoy your new level of comfort while working Better Design, Better Comfort, Better Choice: Our high performance seating helps you do your best work; we offer a broad range of dynamic options, all backed by Steelcase research, innovation, and our unwavering standards for quality and sustainability","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,"1,953 ratings",https://www.amazon.com/-/zh/dp/B078HG8HWF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-10&srs=24000582011
