name,price,product_dimensions,description,sustainability_features,rating,number_of_reviews,product_page_url
"HP LaserJet MFP M140w Wireless Printer, Print, scan, copy, Fast speeds, Easy setup, Mobile printing, Best-for-small teams, Instant Ink eligible",$139.00 ,"10.4""D x 14.2""W x 7.8""H",,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel",4.5 out of 5 stars,480 ratings,https://www.amazon.com/-/zh/dp/B09MSPNYQ2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-1&srs=24229290011
"CHERRY Stream Keyboard Wired USB SX Scissors Mechanism QWERTY Whisper-Quiet Silent Keystroke for Home Office, Work or Personal Computer. Black",$27.99 ,,"work at your fingertips: whisper-quiet keystroke, unbeatable typing experience highest quality: durable key label, in-house sx scissor mechanism, environmental label blue angel user comfort: 3 integrated status indicators, perfect slip resistance, 10 office and multimedia keys modern design: flat height, focused on the essential, gs approval. Connectivity technology: USB American Entrepreneurship coupled with German Engineering. Today, CHERRY is regarded as the epitome of quality, innovation, design and sustainability. A unique feeling.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel",4.5 out of 5 stars,"1,360 ratings",https://www.amazon.com/-/zh/dp/B07Z1KH3PL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-2&srs=24229290011
CHERRY Stream Desktop - Wireless Keyboard and Mouse Combo - US Layout - QWERTY Keyboard - Black,$44.99 ,,"Maximum productivity: -> Extremely quiet keystrokes -> CHERRY SX scissor mechanism -> Quiet mouse buttons -> 3-level adjustable mouse sensor with up to 2400 dpi Highest quality: -> Rubberized feet for perfect slip resistance -> Integrated metal plate for maximum torsional rigidity -> â€žBlauer Engelâ€?ecolabel -> Durable key lettering -> Keyboard with AES-128 encryption Optimum operating comfort: -> Battery life up to 36 months (keyboard: 36 months, mouse: 12 months) -> Status LEDs show low battery charge and mouse resolution -> Keyboard with integrated status LEDs for the CAPS LOCK, NUM and SCROLL keys -> Keyboard with 10 office & multimedia keys -> 6 mouse buttons and scroll wheel Very latest design: -> Flat overall height -> GS approval (full size layout) -> Perfectly coordinated design","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel",4.4 out of 5 stars,170 ratings,https://www.amazon.com/-/zh/dp/B08YRLGZGB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-3&srs=24229290011
HP LaserJet Pro M404n Monochrome Printer with built-in Ethernet (W1A52A),$550.99 ,"8.5""D x 14.06""W x 15""H","BUILT TO KEEP YOUR BUSINESS MOVING FORWARD â€?Print consistently high-quality documents with the HP LaserJet Pro M404n, a monochrome laser printer designed to let you focus on growing your business HP WOLF PRO SECURITY â€?Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS SPEED THROUGH TASKS â€?Stay productive with a 250-sheet input tray, fast first page out time, and print speeds of up to 40 pages per minute from this black and white laser printer SHARE RESOURCES ON YOUR NETWORK â€?Easily access, print, and share resources with built-in Ethernet capabilities ENHANCED ENERGY EFFICIENCY â€?Designed with the environment in mind, the HP LaserJet Pro M404n saves up to 18% energy over prior products, with technologies that help reduce paper waste COMPACT SIZE - Make the most of your office space with a compact printer that conveniently fits into your shared work area TONER CARTRIDGES YOU CAN TRUST â€?Avoid reprints, wasted supplies, and service calls by using Original HP 58A/58X toner cartridges designed for your monochrome laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel",4.0 out of 5 stars,"1,098 ratings",https://www.amazon.com/-/zh/dp/B07RRFJ15R/ref=sr_1_4?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-4&srs=24229290011
"KYOCERA ECOSYS P2040dw Monochrome Network Laser Printer, 42 ppm, Up to Fine 1200 dpi, Standard Duplex, Gigabit Ethernet, USB, Wireless & Wi-Fi Direct, Mobile Print, 256 MB Memory, 2 Line LCD Screen",$346.99 ,"15.5""D x 14.8""W x 10.7""H","SPEED: Black and White Business Output up to 42 Pages per Minute RESOLUTION: Up to Fine 1200 dpi Print Resolution FEATURES: Standard Wireless and Wi-Fi Direct. Standard Duplex. KYOCERA Fleet Services ready. MOBILE PRINTING: Apple AirPrint, Google Cloud Print, KYOCERA Mobile Print, Mopria PAPER SUPPLY: Up to 850 Sheets Paper Capacity with Options (Standart 350 sheets). Supports Statement to Legal (5.5"" x 8.5"" - 8.5"" x 14"")","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel",4.2 out of 5 stars,98 ratings,https://www.amazon.com/-/zh/dp/B01MZZ4WAW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-5&srs=24229290011
"Cherry KC 1000, Smartcard Keyboard (JK-A0100EU-2)",$29.99 ,,"Wired security keyboard with integrated chip card terminal Secure PIN entry PC/SC smartcard reader Protocols: T=0, T=1, S=8, S=9, S=10 FIPS 201 Approved EMV 2000 Level 1 approved CCID compatible","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel",4.6 out of 5 stars,171 ratings,https://www.amazon.com/-/zh/dp/B0132HJ2LA/ref=sr_1_6?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-6&srs=24229290011
"Leitz 2-Ring 3-Inch Premium A4 Sized European Black Marbled Binder, Black (R80)",$16.00 ,,"575 Sheet Capacity Fits A4 Paper - 8.27"" x 11.7"" Ring Spacing - 8cm Adhesive label included on binder spine Lever Arch open 50% wider for more comfortable filing","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
The Forest Stewardship Council   Blue Angel",4.6 out of 5 stars,"2,033 ratings",https://www.amazon.com/-/zh/dp/B000KJNYB8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-7&srs=24229290011
"Xerox B310DNI Printer, Laser, B&W, Wireless, Print, Letter, Energy Star Certified, UP to 36PPM",$286.80 ,,"WORK FROM HOME: Perfect for small teams or home offices that need technology that fits in tight spaces and is easy to set up. The Xerox B310 Printer is perfect for anyone looking for a small, heavy-duty, reliable, wireless printer. OUTSTANDING PERFORMANCE: Wireless printer, with print speeds of up to 40 A4-sized pages per minute, automatic two-sided printing, 250-sheet paper capacity and high-resolution image quality. CONVENIENCE AND CONNECTIVITY: Built-in Wi-Fi and support for Apple AirPrint, Mopria Print Service and Chromebook printing means the B310 is made for users who print from a wide range of mobile devices. And, simple installation without the need for local IT support means you are up and running right out of the box STAY SECURE: Comprehensive security features protect against rising and increasingly; sophisticated cyber threats by safeguarding access and protecting sensitive data and documents. LESS WASTE: This printer minimises environmental impacts with features like automatic 2-sided and N-up printing to save paper. And, achieving EPEAT certification means the B310 meets comprehensive criteria for design, production, energy use and recycling. And our Green World Alliance programme offers hassle-free toner cartridge recycling.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel   EPEAT",4.3 out of 5 stars,11 ratings,https://www.amazon.com/-/zh/dp/B09HRH7BKJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-8&srs=24229290011
"Xerox C230/DNI Color Printer, Laser, Wireless",$274.90 ,,"WORK FROM HOME: Perfect for small teams or home offices that need technology that fits in tight spaces and is easy to setup. The Xerox C230 Color Printer is perfect for anyone looking for a small, reliable, wireless Color printer. OUTSTANDING PERFORMANCE: Color wireless printer, with print speeds up to 24 Letter pages per minute /22 A4 pages per minute, automatic two-sided printing, 250-sheet paper capacity and high-resolution image quality. CONVENIENCE AND CONNECTIVITY: Built-in Wi-Fi for Apple AirPrint, Mopria Print Service and Chromebook. And, simple installation without the need for local IT support means you are up and running right out of the box. STAY SECURE: Comprehensive security features protect against rising and increasingly sophisticated cyber threats by safeguarding access and protecting sensitive data and documents. ENERGY STAR QUALIFIED: This printer minimizes environmental impacts with features such as Toner Darkness modes, automatic 2-sided printing, N-up printing and is EPEAT certified offers hassle-free toner recycling through the Xerox Green World Alliance.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel   EPEAT",4.3 out of 5 stars,166 ratings,https://www.amazon.com/-/zh/dp/B09C2LR3SF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-9&srs=24229290011
"Kyocera ECOSYS P2235dw Monochrome Network Laser Printer, 37ppm, Up To Fine 1200 dpi, Gigabit Ethernet, Wireless & Wi-Fi Direct, Mobile Print, Auto-Duplex, LED Control Panel, 256 mb, 250 sheet tray",$297.99 ,,"Black and White Business Output up to 37 Pages per Minute, LED Display Up to Fine 1200 dpi Print Resolution, Standard Wireless and Wi-Fi Direct Capability KYOCERA Mobile Print, Google Cloud Print and Mopria Compatible for a Mobile Printing Solution Up to 850 Sheets Paper Capacity KYOCERA Fleet Services ready, a secure cloud-based monitoring system, optimizes device uptime and reduces costs","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
Blue Angel   EPEAT",4.3 out of 5 stars,132 ratings,https://www.amazon.com/-/zh/dp/B01MXS42BL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrQ8NfOEvQDzNh2hjGGZDj6TJ1H3AOSANvObgmwdDbNtrw0rDyl0FBBcdfjee-GSXVrKQ69whnauf2O3n7jDLV1jKKjwE_1NpVeVaBYlo_upVxcd9UMpn5W61kE-byqPzhFLOl1wQwam0OeKgudj19miCZkyoHGQSvlhq56ja-axpc7-nH7sMb9G1_39DLA9x4JKGLOEwmQR6Vvwmk5hmGZI.nqph-1Fn6Cl3TUed86zwF_Y0usvBR53JwbIxEWkyr_E&dib_tag=se&qid=1719037827&sr=8-10&srs=24229290011
