name,price,product_dimensions,description,sustainability_features,rating,number_of_reviews,product_page_url
"Dr. Bronner's - Organic Lotion (Patchouli Lime, 8 Ounce) - Body Lotion and Moisturizer, Certified Organic, Soothing for Hands, Face and Body, Highly Emollient, Nourishes and Hydrates, Vegan, Non-GMO",$13.75,,"USDA ORGANIC & FAIR TRADE INGREDIENTS: Dr. Bronner's Organic Lotions are formulated with organic jojoba oil to heal & soothe, organic coconut oil to moisturize, organic hemp & avocado oils to keep skin smooth & supple. OK! ONLY THE PUREST, ORGANIC ESSENTIAL OILS & INGREDIENTS: Dr. Bronner’s is committed to providing the purest ingredients for our customers. That’s why only the finest organic essential oils are used for fragrance—breathe deeply! GENTLE ENOUGH FOR MOST SKIN TYPES: Great for sensitive, dry, rough, or combination skin! Our Organic Lotions can be used on hands, face, body & everywhere! Give your skin a treat with this rich, nourishing lotion—massage deeply! OUR ORGANIC LOTIONS ARE HIGHLY EMOLLIENT: Start with a small amount! Keep a bottle by your sink & apply a pea-sized amount after hand-washing. Put it on right out of the shower—a few squirts will cover the whole body. It absorbs quickly! CERTIFIED UNDER THE NATIONAL ORGANIC PROGRAM: Our products are certified under the same program that certifies all organically-produced agriculture & food in the United States. This is important because what you put on your body goes into your body.","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life   USDA Organic",4.1 out of 5 stars,"5,585 ratings",https://www.amazon.com/-/zh/dp/B000E3FIX2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-1&srs=23176677011
"Dr. Bronner's - Pure-Castile Liquid Soap (Citrus, 8 ounce) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",$7.61,,"MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. ORGANIC & FAIR TRADE PALM KERNEL OIL: Grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—providing the smooth & creamy lather of our soaps while benefiting people & planet. NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our liquid soaps are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—which is good for the environment & great for your skin! 3X MORE CONCENTRATED THAN MOST LIQUID SOAPS: Dilute! Dilute! Multiple uses for just one product: laundry, mopping, hand-washing dishes, all-purpose cleaning, washing pets & more. More soap per bottle means less waste in packaging! PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLES: Dr. Bronner's is diverting discarded plastic from landfills by using & increasing demand for recycled plastic bottles. This eliminates waste & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life   EWG Verified   Natrue",4.7 out of 5 stars,"11,074 ratings",https://www.amazon.com/-/zh/dp/B001KF2KZ2/ref=sr_1_2?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-2&srs=23176677011
"Dr. Bronner's - Pure-Castile Liquid Soap (Almond, 16 ounce, 2-Pack) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",$21.18,,"MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. ORGANIC & FAIR TRADE PALM KERNEL OIL: Grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—providing the smooth & creamy lather of our soaps while benefiting people & planet. NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our liquid soaps are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—which is good for the environment & great for your skin! 3X MORE CONCENTRATED THAN MOST LIQUID SOAPS: Dilute! Dilute! Multiple uses for just one product: laundry, mopping, hand-washing dishes, all-purpose cleaning, washing pets & more. More soap per bottle means less waste in packaging! PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLES: Dr. Bronner's is diverting discarded plastic from landfills by using & increasing demand for recycled plastic bottles. This eliminates waste & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life   EWG Verified   USDA Organic",4.8 out of 5 stars,"9,177 ratings",https://www.amazon.com/-/zh/dp/B00JF2HW8C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-3&srs=23176677011
"Dr. Bronner's - Pure-Castile Liquid Soap (Peppermint, 1 Gallon) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",$63.96,,"MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. ORGANIC & FAIR TRADE PALM KERNEL OIL: Grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—providing the smooth & creamy lather of our soaps while benefiting people & planet. NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our liquid soaps are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—which is good for the environment & great for your skin! 3X MORE CONCENTRATED THAN MOST LIQUID SOAPS: Dilute! Dilute! Multiple uses for just one product: laundry, mopping, hand-washing dishes, all-purpose cleaning, washing pets & more. More soap per bottle means less waste in packaging! PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLES: Dr. Bronner's is diverting discarded plastic from landfills by using & increasing demand for recycled plastic bottles. This eliminates waste & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life   EWG Verified   USDA Organic",4.8 out of 5 stars,"4,507 ratings",https://www.amazon.com/-/zh/dp/B00028O80I/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-4&srs=23176677011
"Guayaki Traditional Organic Mate Tea Bags, 75 Count",$21.51,,"Rich, robust, and balanced, with a complex earthy mate body, and a smooth mellow finish Uplifting and nourishing choice of health-minded individuals Yerba mate boasts 24 vitamins and minerals, 15 amino acids and abundant antioxidants Premium-quality, rainforest-grown yerba mate Organic and fair trade certified","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life",4.5 out of 5 stars,291 ratings,https://www.amazon.com/-/zh/dp/B013Q21BHO/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-5&srs=23176677011
"Dr. Bronner’s - Pure-Castile Liquid Soap (Peppermint, 32 ounce) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",$10.99,,"MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. ORGANIC & FAIR TRADE PALM KERNEL OIL: Grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—providing the smooth & creamy lather of our soaps while benefiting people & planet. NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our liquid soaps are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—which is good for the environment & great for your skin! 3X MORE CONCENTRATED THAN MOST LIQUID SOAPS: Dilute! Dilute! Multiple uses for just one product: laundry, mopping, hand-washing dishes, all-purpose cleaning, washing pets & more. More soap per bottle means less waste in packaging! PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLES: Dr. Bronner's is diverting discarded plastic from landfills by using & increasing demand for recycled plastic bottles. This eliminates waste & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life",4.8 out of 5 stars,"10,067 ratings",https://www.amazon.com/-/zh/dp/B00120VWJ0/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-6&srs=23176677011
"Dr. Bronner's - Pure-Castile Liquid Soap (Eucalyptus, 16 ounce, 2-Pack) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",$21.11,,"MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. ORGANIC & FAIR TRADE PALM KERNEL OIL: Grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—providing the smooth & creamy lather of our soaps while benefiting people & planet. NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our liquid soaps are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—which is good for the environment & great for your skin! 3X MORE CONCENTRATED THAN MOST LIQUID SOAPS: Dilute! Dilute! Multiple uses for just one product: laundry, mopping, hand-washing dishes, all-purpose cleaning, washing pets & more. More soap per bottle means less waste in packaging! PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLES: Dr. Bronner's is diverting discarded plastic from landfills by using & increasing demand for recycled plastic bottles. This eliminates waste & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life",4.8 out of 5 stars,"8,766 ratings",https://www.amazon.com/-/zh/dp/B002LM7UF8/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-7&srs=23176677011
Pukka Organic Herbal Tea Elderberry & Echinacea 20 Tea Bags,$5.89,,"Good news for comforting and preparing you for life's ups and downs Made with organic elderberries, echinacea root and leaf Stay warm and well Naturally caffeine free and ethically sourced, 100% organically grown ingredients Bring these incredible herbs alive by infusing in freshly boiled water for up to 15 minutes","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life   EU Organic",4.6 out of 5 stars,"1,104 ratings",https://www.amazon.com/-/zh/dp/B00X53LSEQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-8&srs=23176677011
Three Mint Tea 20 Bags,$11.98,,20 Bags Serving Size: 1 20 Servings Per Container Suitable for Vegetarians,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Soil Association   Fair for Life   Soil Association   Soil Association",4.3 out of 5 stars,374 ratings,https://www.amazon.com/-/zh/dp/B0038JM738/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-9&srs=23176677011
"Alaffia Beautiful Curls Curl Enhance Refresher Spray, Wavy to Curly Hair Products, No Sulfates with Shea Butter & Essential Oils, Calendula and Aloe, 12 Fl Oz",$13.99,,"HYDRATE, ENHANCE & SHINE: This curly hair spray refreshes curls from root to tip to moisturize, improve elasticity and reduce frizz, using a blend of fair trade unrefined shea butter, calendula extract and aloe REVIVING HAIR SPRAY FOR ALL CURL TYPES: Our curl refresher spray locks in moisture and refreshes curl pattern without rewashing. Great to use throughout the day to revive and retract expanded curls and minimize frizz. CLEAN, PLANT BASED FORMULATION: Alaffia curly hair moisturizer is vegan, cruelty-free and made without sulfates, parabens, phthalates, silicones, mineral oil, artificial color or synthetic fragrance. CURL REFRESHER SPRAY USE INSTRUCTIONS: Spray evenly onto hair and use fingers to restore curl patterns and waves. Use before heat styling to help protect hair from damage and drying. THE ALAFFIA ORGANIZATION: Much more than just beauty and self-care products, Alaffia aims to alleviate poverty and advance gender equality, in Togo, West Africa, through the fair trade of indigenous resources and community empowerment initiatives.","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Fair for Life   Fair for Life",3.9 out of 5 stars,65 ratings,https://www.amazon.com/-/zh/dp/B082G2BNKL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3NZSnkvGeIyFm-WpxmoGIilD7EzfwypjWIXIWGMUiUlyYjBPfqMWy2JVX_PGQ5KNjTTlCzDDZ1tp8qm1XDNrJB8RRh0ibUi1EBePpdpOYDIWqxLO5VU0XPTKChfQgowoGAlX_O3OZOkLjuccmcqy0U9Yhj8eh4Lm85bxI0In6vH3G6ujluNWz5oWqLriD1DjTJBqY3Kiu1AGcbPFCUVvNpkkffVwyrdTkZzudvQ2m7A.2s1EutmyABPvyBwjIbs3gbijlrAoOzOOlmqQjAkb6xw&dib_tag=se&qid=1719039306&sr=8-10&srs=23176677011
