name,price,product_dimensions,description,sustainability_features,rating,number_of_reviews,product_page_url,product_id
"Viva Signature Cloth Paper Towels, 12 Triple Rolls, 141 Sheets per Roll",$28.49,,"12 Viva Signature Cloth Paper Towel Triple Rolls, 141 sheets per roll (12 triple rolls = 36 single rolls); Viva Choose-A-Sheet size allows you to choose the right sheet size for any task; packaging may vary These paper towels are 2x more durable* and soft like cloth (*when wet vs. the leading 1-ply value brand) Viva Signature Cloth is the softest and most durable** paper towels (**when wet vs. nationally branded towels) Viva Signature Cloth is the most cloth-like towel; rinse and reuse each paper towel until the job is done Our paper towels are soft and strong like cloth and cleans like cloth to power through any cleaning job","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
The Forest Stewardship Council",4.8 out of 5 stars,559 ratings,https://www.amazon.com/-/zh/dp/B0CM4NP4NY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-1&srs=21417082011,B0CM4NP4NY
"Cottonelle Ultra Comfort Toilet Paper with Cushiony CleaningRipples Texture, 24 Family Mega Rolls (24 Family Mega Rolls = 108 Regular Rolls) (4 Packs of 6), 296 Sheets per Roll, Packaging May Vary",$27.59,,"24 Family Mega Rolls of Cottonelle Ultra Comfort Toilet Paper; 296 sheets per roll Superior Clean*: Cottonelle bath tissue is designed to clean better* (*than the leading US value brand) Our Softest Ever: Our toilet tissue is made with Cottony Soft CleaningRipples for unbeatable comfort** (**vs the leading US value brand) Our Most Absorbent: Our toilet paper rolls have CleaningRipples and are 3x more absorbent*** (***vs the leading US value brand) Comfortable Clean: Cottonelle Ultra Comfort toilet paper is designed to remove residue and absorb moisture for a clean thatâs comfortably dry Comfy Meets Quality: Cottonelle 2-Ply Toilet Tissue is designed with comfort in mind so you can discover the value of a soft, absorbent roll Cottonelle bath tissue is FSC certified, supporting responsible forestry and only uses fibers that are 100% plant-based","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
The Forest Stewardship Council",4.8 out of 5 stars,"83,592 ratings",https://www.amazon.com/-/zh/dp/B0CM5C15ZD/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-2&srs=21417082011,B0CM5C15ZD
"Cottonelle Ultra Clean Toilet Paper with Active CleaningRipples Texture, 24 Family Mega Rolls (24 Family Mega Rolls = 132 Regular Rolls) (4 Packs of 6), 353 Sheets Per Roll, Packaging May Vary",$27.59,,"24 Family Mega Rolls of Cottonelle Ultra Clean Toilet Paper (4 packs of 6); 353 sheets per roll Superior Clean*: Each Cottonelle toilet paper roll is made with strong CleaningRipples that are designed to clean better* (*than the leading US value brand) Thick & Strong: Our toilet tissue is 3x thicker and stronger** (**per sheet vs. the leading US value brand) Removes More in One Wipe***: Our bath tissue removes residue, reduces odor, and is designed for sensitive skin (***vs. the leading US value brand) Cottonelle Ultra Clean Toilet Paper is free of added perfumes and dyes Cottonelle 1-ply toilet tissue is FSC certified, supporting responsible forestry and only uses fibers that are 100% plant-based Pair Cottonelle toilet paper with Cottonelle flushable wipes together to remove up to 100% of residue and odor**** (****using wet + dry vs. dry alone)","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
The Forest Stewardship Council",4.8 out of 5 stars,"95,864 ratings",https://www.amazon.com/-/zh/dp/B0CM4NXMV2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-3&srs=21417082011,B0CM4NXMV2
"Lined Spiral Journal Notebook for Women & Men, 140 Pages, College Ruled Hardcover Notebook for Work & Note Taking, Journals for Writing, A5 - Green",$7.99,,"Sturdy Construction: Our Lined Spiral Journal Notebook is built to last with a sturdy metal twin-wire binding and a tough hardcover. The water-resistant cover shields your notes from damage, while the double-wire design allows for easy folding and flat laying. High-Quality Paper: Crafted from 100 GSM thick, ink-friendly paper, our notebook prevents ink bleed-through and ghosting. It accommodates various pens, including ballpoint, gel, and fountain pens. Each page features a day header for effortless date tracking. Organized and Functional Design: With 140 lined pages and a 6-page blank table of contents, our notebook offers ample space for note-taking and easy referencing. An inner pocket keeps miscellaneous items secure, and an elastic closure band ensures the notebook stays closed when not in use. Versatile Usage: Suitable for office, school, and home environments, our notebook is perfect for journaling, note-taking, drawing, goal setting, Bible, and planning. It's a thoughtful gift for friends, family, classmates, and colleagues. Medium-Sized Portability: Measuring 5.5 inches x 8 inches, our medium notebook strikes the perfect balance between portability and functionality. Its sturdy construction and aesthetic design make it an ideal companion for all your writing endeavors.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
The Forest Stewardship Council",4.7 out of 5 stars,365 ratings,https://www.amazon.com/-/zh/dp/B0CT4HX4T9/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-4&srs=21417082011,B0CT4HX4T9
"Charmin Ultra Strong Toilet Paper, 6 Mega Rolls = 24 Regular Rolls",$7.97,,Pack contains 6 Mega Rolls (242 Sheets Per Roll) of Charmin Ultra Strong Toilet Paper Charmin Ultra Strong has washcloth like texture 4X stronger when wet to keep your hands and hiney clean (vs leading USA 1-ply bargain brand) Made with a diamond weave texture Clog-safe and septic-safe; Roto-Rooter approved,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
Rainforest Alliance   Rainforest Alliance   Rainforest Alliance   The Forest Stewardship Council",4.8 out of 5 stars,"10,367 ratings",https://www.amazon.com/-/zh/dp/B0B7QXR2PF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-5&srs=21417082011,B0B7QXR2PF
Hebrew Illuminations 2025 Wall Calendar by Adam Rhine: A 16-Month Jewish Calendar with Candle Lighting Times,$16.99,,,,Previous slide of product details,,https://www.amazon.com/-/zh/dp/1524890952/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-6&srs=21417082011,1524890952
"Thank You Cards With Envelopes 24 Pack, 4x6 Inch Thank You Cards Bulk with Elegant Design, Thank You Notes for Small Business, Wedding, Baby Shower, Graduation, Funeral, Bridal Shower - Navy Blue",$5.49,,"Handwritten Gratitude: Show your deep appreciation with Taja elegant thank you cards. These cards are blank inside, providing ample space to pen a heartfelt message to friends, colleagues, teachers or loved ones. Express your thanks with words that truly come from the heart. Effortless Elegance, Perfectly Sized: Our thank you cards with envelopes are ideally sized at 4"" x 6"" when folded, and each set also includes 24 100gsm kraft envelopes and 24 matching stickers to seal your thank you cards with ease, adding a touch of elegance. Perfect for All Occasions: Thank you cards are always in style, whether you're thanking coworkers, business colleagues, or expressing gratitude to loved ones after a wedding, baby shower, graduation, or holiday. This set of thank you card is versatile enough for both formal and personal occasions. No Tears or Smears with Thick Cardstock: Our thank you notes are made with 300gsm, sturdy cardstock, providing durability and resistance to damage. The textured surface ensures that your ink dries quickly, preventing smears and smudges. Affordable and Timeless 24 Pack: This 24 set of thank you cards and envelopes is an affordable way to show appreciation to up to 24 people or families. Whether you're hosting a large event or need cards for smaller occasions throughout the year, this set has you covered.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
The Forest Stewardship Council",4.7 out of 5 stars,54 ratings,https://www.amazon.com/-/zh/dp/B0CXPWTDYJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-7&srs=21417082011,B0CXPWTDYJ
Thoughts of Dog 2025 Day-to-Day Calendar,$17.99,,,,5.0 out of 5 stars,1 rating,https://www.amazon.com/-/zh/dp/1524889016/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-8&srs=21417082011,1524889016
Effin' Birds 2025 Day-to-Day Calendar,$17.99,,,,5.0 out of 5 stars,1 rating,https://www.amazon.com/-/zh/dp/1524889377/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-9&srs=21417082011,1524889377
Mary Engelbreit's Words That Matter 2025 Deluxe Wall Calendar,$17.99,,,,Previous slide of product details,,https://www.amazon.com/-/zh/dp/1524888885/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Wd9VUguhipRExQyrE3Ga_wNTZHHxE7EQkjNMQcBnCpBsljqfWCFhPxPUT28cIqiISHu3_38E7WvDQFzXRHPhqrp95oG5MaoXTVZO65CthvGsu9Ri2ncYDHkS7w6Aro8sAUrY9mpprpVlmLOoFVNwZ_n039CZmmAW8Q8HoQqEMs2X7w10lMHPS9XYB3K2eRqP_OehO8Af0pltUhVdIZVvLaU9czpoSaV6tOsK8QGWijY.uwZCfKSZCX2kz0724ALdqyZnUiv2cao-uvy8mrCJolM&dib_tag=se&qid=1719040328&sr=8-10&srs=21417082011,1524888885
