name,price,product_dimensions,description,sustainability_features,rating,number_of_reviews,product_page_url,product_id
"Amazon Essentials Men's Recycled Polyester Regular-Fit Short-Sleeve Quick-Dry Jersey Henley, Pack of 2",$39.99,,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.4 out of 5 stars,24 ratings,https://www.amazon.com/-/zh/dp/B0C5J41F17/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-1&srs=21411242011,B0C5J41F17
"YITAHOME 32 Gallon Deck Box, Resin Storage with Lockable Lid & Side Handles, Indoor Outdoor Small Container for Patio Cushion, Garden Pool Accessories, Backyard Furniture, Water Resistant",$29.99,,"Sleek and Practical- Our deck box is designed with side handles for easy mobility, while the lockable design enhances security; Its unique appearance seamlessly complements your furniture Durable Materials- The pool storage box is crafted from weather-resistant resin for efficient resistance against water, UV rays, fading, and warping, making it effortless to maintain 32 Gallon Capacity- External measuring 22.1''L x 17.1''W x 20.9''H , this outdoor storage box provides ample space for accommodating patio cushions, garden tools, and other small items Multi-purpose Design- Supporting up to 300 pounds on the top, this patio storage box can be used alternatively as a side table, patio seating, storage bench, or footstool No-tool Assembly- Leave your tools and screws behind; The lockable storage box can be easily assembled in 15 minutes by simply snapping the panels together","Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.6 out of 5 stars,46 ratings,https://www.amazon.com/-/zh/dp/B0CWTP4D15/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-2&srs=21411242011,B0CWTP4D15
"JEETEE Pots and Pans Set Non Stick 26pcs, Cookware Set with Removable Handle, Induction Kitchen Cooking Sets with Detachable Handle, RV Camping Stackable Pots Pans, Oven Safe, PFOA Free, Beige",$99.99,,"Saving Space Design: Neatly stack all the pots and pans, and place the pot protector between each pot to prevent scratches, saving 80% of the space compared to regular pots, and can be easily placed in the cabinet. Oven Safe: The cookware set is oven-safe up to 350Â°F, making it suitable for baking, roasting, and grilling. It is also suitable for use on gas stoves, electric stoves, and induction stoves. Please remove the handle from pans and pots when heating. Detachable Cookware Sets: Perfect choice for a small family, suitable for 3-5 people - 2.0 Quart & 2.5 Quart Sauce Pan with Lid, 8 inch & 10 inch Frying Pan, 3.5 Quart SautÃ© Pan with Lid, 10 inch Square Grill Pan, 2 Removable Handle, 4 Silicone Utensils, 6 Fridge Storage Lid, 5 Pot and Pan Protectors. Non-Stick Coating: The interior and exterior of the pots and pans are coated with high-performance nonstick coatings, 100% free of harmful substances such as PFOA/PTFE, lead, and cadmium (SGS certification standard), very scratch resistant. The nonstick coating not only makes cooking easier but also reduces the need for excessive oil and saves money. Unique Removable Handle: The Pots and Pans with detachable handles provide ultimate flexibility, allowing you to easily move your cookware from stove to oven to table to fridge. The handle's detachability brings a new cooking style. The handle is also designed to be ergonomic, making it comfortable to hold. Multifunctional Cookware: After cooking, we can do many more things with this set including enjoying the removable handles and using the pans as serving pots. The soft candy-colored lid in the cookware sets can better preserve food in the refrigerator. RV Cooking Set: The stackable pots and pans set and detachable handles are an ideal choice for camping and RVs. The nonstick coating makes it easy to wipe clean with a damp cloth.","Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.4 out of 5 stars,110 ratings,https://www.amazon.com/-/zh/dp/B0CR5ZC685/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-3&srs=21411242011,B0CR5ZC685
Doli Yearning Upgrade Baby Bath Thermometer Room Temperature| Water Thermometer|Kids' Bathroom Safety Products| Baby Bath(Seal Shape)â?â? LCD,$14.99,,"[Brand-New Design] NO more insulation spacer. GREATER ACCURACY & WATER RESISTANCE. IT will AUTOMATICALLY TURN OFF. [AVAILABLE FOR â?& â] There is a â?â?â?â?button on bottom of the thermometer , click there to change. [SAFETY BABY BATH THERMOMETER] BPA FREE MATERIAL PRODUCT. Long-lasting life, safe and harmless built-in button cell. !!!WE GUARANTEE THAT IT REMAINS WATERPROFF AFTER YOU CHANGE THE BATTERY!!! [MULTI-FUNCTIONAL USE] This baby thermometer can measure the bath water temperature for baby, also the room temperature. [QUICK& ACCURATE] It will tell you the water temperature within 1 second, and you can easy to read it from the big LCD display, which helps you to confirm a comfortable water temperature for your baby to enjoy bath fun.","Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.5 out of 5 stars,"2,133 ratings",https://www.amazon.com/-/zh/dp/B08HWBT9YD/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-4&srs=21411242011,B08HWBT9YD
Small Gold Huggie Hoop Earrings for Women 14K Gold Plated Lightweight Hoop Earrings Set for Women Hypoallergenic Earrings Gifts,$12.95,,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.5 out of 5 stars,"1,239 ratings",https://www.amazon.com/-/zh/dp/B0CQ1WFZQV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-6&srs=21411242011,B0CQ1WFZQV
"Dainty Gold Bracelets for Women, 14K Real Gold Chain Jewelry for Women,Waterproof Stackable Thin Cuban Paperclip Link Bracelets Pack Trendy Minimalist Tiny Cute Stack Set Gold Accessories Gifts for Girls (Style 01)",$5.99,,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.0 out of 5 stars,21 ratings,https://www.amazon.com/-/zh/dp/B0CGJ2YVDL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-7&srs=21411242011,B0CGJ2YVDL
"Gold Hoop Earrings Set for Women, 14k Gold Plated Hypoallergenic Lightweight Gold Hoops Huggie Earrings Tiny Cartilage Ear Jewelry Gifts",$15.98,,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.5 out of 5 stars,"1,014 ratings",https://www.amazon.com/-/zh/dp/B0BZ81XCCW/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-9&srs=21411242011,B0BZ81XCCW
"Small Silver Hoop Earrings Set for Women, Dainty Tiny Lightweight Cubic Zirconia Cuff Silver Huggie Earrings Mini Hoops Cartilage Earring Silver Earrings Set for Multiple Piercing Jewelry for Women",$13.98,,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.4 out of 5 stars,463 ratings,https://www.amazon.com/-/zh/dp/B0CGDNCBCC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-10&srs=21411242011,B0CGDNCBCC
"MATEPROX Magnetic Design for Samsung Galaxy S24 Ultra Case, Stylish Slim an-ti Yellow Translucent Matte Shockproof Protective Cover for S 24 Ultra 6.8'' 2024-Titanium Gray",$8.49,,"â?This MATEPROX Case is specifically designed for the Samsung Galaxy S24 Ultra 5G (2024release) 6.8 inch. With precise cutouts for charging ports and flexible tactile buttons, this armor mobile phone cover fits your device perfectly. â?Built-in magnets, automatically aligned with the magnetic charger safely. Support wireless charging and Qi-certified wireless charging. â?Upgraded material makes the translucent back of the case can effectively prevent the phone case from turning yellow and make it soft in touch. Metallic camera frames and buttons make the phone more stylish. â?With a 2.5mm raised bevel on the camera lens and 2mm on the screen, MATEPROX cell phone case offers extra protection against collisions from iPhone lenses and screen scratches. We also include a phone tempered film to protect your mobile phone. â?MATEPROX will provide olifetime free replacement service. If you encounter any problem, such as wrong size, color incorrect, shipping problem, wear and tear, getting dirty ect.. Please feel free to contact us at any time.","Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.1 out of 5 stars,87 ratings,https://www.amazon.com/-/zh/dp/B0CQYJ1XYD/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-11&srs=21411242011,B0CQYJ1XYD
Amazon Essentials Women's Classic-Fit Full-Zip Polar Soft Fleece Jacket (Available in Plus Size),$38.99,,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
Recycled Claim Standard 100",4.5 out of 5 stars,"18,365 ratings",https://www.amazon.com/-/zh/dp/B097J16C7L/ref=sr_1_12?dib=eyJ2IjoiMSJ9.nhcIKRgNO3NL7bmI0hJu-aQKrzIJ1ITF5ti2_8Hoz7GOGxEEY1ZfEQqKnHqEU1TiFWUyLH_N9HllbffF4Oi_vrYpcpw2SzSNSwUUwv6PjGdPS47b26A0LVEbCFc-7Yy4IpXA2Z5puKGfxHCpCwMOYki3Jn2GFxjd5IeDfbWKHfNnnPHkajOmkebdZDXRIZ6X5zTNCREsOcInaibHf8UMYpzWiKcRJAHLjwwjadTlxPY.GLpHs-y_y2wWgwm2VDeGNGB0PrMFj3dZXSF1LZTWKJU&dib_tag=se&qid=1719040875&sr=8-12&srs=21411242011,B097J16C7L
